Test Name:,"UCT_AST_9AH_B05_VARIED DCHG",
Test Date:,"2024/05/08 11:26:26 AM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 14",
Name:,"Channel 14",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:07:30.5",1,1,1,1,4,="0:02:15.0",0.18,13.700,2.4,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:31.5",1,1,1,1,4,="0:02:16.0",0.18,13.700,2.4,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:32.5",1,1,1,1,4,="0:02:17.0",0.17,13.701,2.3,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:33.5",1,1,1,1,4,="0:02:18.0",0.17,13.700,2.3,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:34.5",1,1,1,1,4,="0:02:19.0",0.18,13.700,2.5,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:35.5",1,1,1,1,4,="0:02:20.0",0.18,13.700,2.4,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:36.5",1,1,1,1,4,="0:02:21.0",0.19,13.700,2.6,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:37.5",1,1,1,1,4,="0:02:22.0",0.17,13.700,2.3,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:38.5",1,1,1,1,4,="0:02:23.0",0.18,13.701,2.4,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:39.5",1,1,1,1,4,="0:02:24.0",0.18,13.701,2.4,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:40.5",1,1,1,1,4,="0:02:25.0",0.17,13.700,2.3,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:41.5",1,1,1,1,4,="0:02:26.0",0.18,13.700,2.4,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:42.5",1,1,1,1,4,="0:02:27.0",0.18,13.700,2.4,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:43.5",1,1,1,1,4,="0:02:28.0",0.17,13.700,2.2,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:44.5",1,1,1,1,4,="0:02:29.0",0.18,13.701,2.4,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:45.5",1,1,1,1,4,="0:02:30.0",0.17,13.701,2.2,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:46.5",1,1,1,1,4,="0:02:31.0",0.18,13.701,2.4,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:47.5",1,1,1,1,4,="0:02:32.0",0.17,13.701,2.3,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:48.5",1,1,1,1,4,="0:02:33.0",0.17,13.701,2.3,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:49.5",1,1,1,1,4,="0:02:34.0",0.17,13.700,2.3,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:50.5",1,1,1,1,4,="0:02:35.0",0.17,13.700,2.3,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:51.5",1,1,1,1,4,="0:02:36.0",0.18,13.701,2.4,0.00,0.12,0.0,0.0,CHRG, ,
No,="0:07:52.5",1,1,1,1,4,="0:02:37.0",0.17,13.700,2.3,0.00,0.13,0.0,0.0,CHRG, ,
