Test Name:,"UCT_AST_9AH_B01_CHG",
Test Date:,"2024/05/10 02:41:30 PM",
Operator ID:,"Uyilo",

Program Name:,"UCT_AST9AH_VARIED_DISCH",
Program Description:,"Charge and discharge test",
Program Database:,C:\VisuaLCN\Programs\Standard tests.mdb,

Module Type:,fj,
Module Description:,"LCV 16-100-12",
Address:,"Port: 1, Sys Controller: 1  Circuit: 8",
Name:,"Channel 8",Device ID:,"Unknown",

"Exclude","Total Time, (h:m:s)","Cycle","Loop Counter #1","Loop Counter #2","Loop Counter #3","Step","Step time, (h:m:s)","Current, A","Voltage, V","Power, W","Amp-Hours, AH","Watt-Hours, WH","Unassigned A1","Unassigned A2","Mode","Data Acquisition Flag",
No,="0:07:27.8",1,1,1,1,4,="0:01:59.0",0.22,13.701,2.9,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:28.8",1,1,1,1,4,="0:02:00.0",0.21,13.700,2.8,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:29.8",1,1,1,1,4,="0:02:01.0",0.20,13.700,2.7,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:30.8",1,1,1,1,4,="0:02:02.0",0.21,13.700,2.8,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:31.8",1,1,1,1,4,="0:02:03.0",0.20,13.700,2.7,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:32.8",1,1,1,1,4,="0:02:04.0",0.21,13.700,2.9,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:33.8",1,1,1,1,4,="0:02:05.0",0.21,13.701,2.9,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:34.8",1,1,1,1,4,="0:02:06.0",0.21,13.700,2.8,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:35.8",1,1,1,1,4,="0:02:07.0",0.21,13.700,2.8,0.00,0.11,0.0,0.0,CHRG, ,
No,="0:07:36.8",1,1,1,1,4,="0:02:08.0",0.20,13.700,2.7,0.00,0.12,0.0,0.0,CHRG, ,
